"","workerid","noun","nounclass","slide_number","predicate2","predicate1","class2","response","class1","language"
"1",0,"tomato","food",3,"hard","green","texture",0.79,"color","English"
"2",0,"apple","food",4,"metal","square","material",0.16,"shape","English"
"3",0,"TV","furniture",5,"round","good","shape",0.88,"quality","English"
"4",0,"banana","food",6,"metal","rotten","material",0.78,"age","English"
"5",0,"desk","furniture",7,"long","square","size",0.09,"shape","English"
"6",0,"chair","furniture",8,"green","wooden","color",0.05,"material","English"
"7",0,"couch","furniture",9,"red","new","color",0.82,"age","English"
"8",0,"carrot","food",10,"metal","rotten","material",0.88,"age","English"
"9",0,"chair","furniture",11,"hard","round","texture",0.1,"shape","English"
"10",0,"carrot","food",12,"blue","huge","color",0.87,"size","English"
"11",0,"couch","furniture",13,"wooden","blue","material",0.83,"color","English"
"12",0,"apple","food",14,"wooden","small","material",0.87,"size","English"
"13",0,"TV","furniture",15,"good","rotten","quality",0.09,"age","English"
"14",0,"chair","furniture",16,"plastic","long","material",0.86,"size","English"
"15",0,"cheese","food",17,"good","metal","quality",0.13,"material","English"
"16",0,"desk","furniture",18,"green","short","color",0.88,"size","English"
"17",0,"carrot","food",19,"big","soft","size",0.08,"texture","English"
"18",0,"chair","furniture",20,"fresh","short","age",0.93,"size","English"
"19",0,"carrot","food",21,"green","long","color",0.98,"size","English"
"20",0,"chair","furniture",22,"good","blue","quality",0.08,"color","English"
"21",0,"apple","food",23,"smooth","round","texture",0.17,"shape","English"
"22",0,"TV","furniture",24,"yellow","big","color",0.8,"size","English"
"23",0,"desk","furniture",25,"new","small","age",0.9,"size","English"
"24",0,"chair","furniture",26,"tiny","smooth","size",0.94,"texture","English"
"25",0,"tomato","food",27,"smooth","short","texture",0.85,"size","English"
"26",0,"couch","furniture",28,"good","big","quality",0.91,"size","English"
"27",1,"fan","furniture",3,"yellow","tiny","color",1,"size","english"
"28",1,"carrot","food",4,"metal","hard","material",0.97,"texture","english"
"29",1,"chair","furniture",5,"hard","square","texture",0.01,"shape","english"
"30",1,"carrot","food",6,"round","new","shape",0.96,"age","english"
"31",1,"apple","food",7,"good","round","quality",0,"shape","english"
"32",1,"tomato","food",8,"fresh","purple","age",0,"color","english"
"33",1,"TV","furniture",9,"wooden","soft","material",0.94,"texture","english"
"34",1,"tomato","food",10,"rotten","blue","age",0.02,"color","english"
"35",1,"tomato","food",11,"new","wooden","age",0.01,"material","english"
"36",1,"TV","furniture",12,"square","brown","shape",0.02,"color","english"
"37",1,"banana","food",13,"round","wooden","shape",0,"material","english"
"38",1,"tomato","food",14,"plastic","smooth","material",0.96,"texture","english"
"39",1,"banana","food",15,"metal","new","material",0.94,"age","english"
"40",1,"apple","food",16,"long","red","size",0.02,"color","english"
