workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,不是,brown,box,0.09,furniture,3,color
0,是,square,table,0,furniture,4,shape
0,是,heavy,cheese,0.81,food,5,size
0,是,good,bed,0.73,furniture,6,quality
0,不是,short,tomato,0.17,food,7,size
0,是,plastic,tomato,0,food,8,material
0,不是,round,apple,0.09,food,9,shape
0,不是,metal,couch,0,furniture,10,material
0,是,big,table,0.51,furniture,11,size
0,是,purple,apple,0.03,food,12,color
0,是,new,table,0.13,furniture,13,age
0,不是,green,chair,0,furniture,14,color
0,是,wooden,box,0,furniture,15,material
0,不是,rotten,watermelon,0,food,16,age
0,是,dry,watermelon,0,food,17,texture
0,是,red,couch,0.05,furniture,18,color
0,不是,old,apple,0.2,food,19,age
0,是,small,chair,0.15,furniture,20,size
0,是,bad,apple,0,food,21,quality
0,是,blue,bed,0,furniture,22,color
0,不是,soft,box,0.09,furniture,23,texture
0,是,yellow,watermelon,0,food,24,color
0,不是,light,tomato,0.08,food,25,size
0,是,fresh,watermelon,0,food,26,age
0,是,hard,table,0,furniture,27,texture
0,是,long,potato,0.28,food,28,size
1,是,new,tomato,0.12,food,3,age
1,不是,dry,tomato,0.06,food,4,texture
1,是,blue,apple,0.08,food,5,color
1,是,plastic,couch,0.06,furniture,6,material
1,是,square,couch,0.04,furniture,7,shape
1,是,rotten,tomato,0.06,food,8,age
1,不是,bad,potato,0.03,food,9,quality
1,不是,hard,table,0.02,furniture,10,texture
1,是,long,cheese,0.04,food,11,size
1,不是,red,box,0.03,furniture,12,color
1,是,brown,apple,0.29,food,13,color
1,是,short,box,0.14,furniture,14,size
1,不是,wooden,potato,0.06,food,15,material
1,是,heavy,watermelon,0.78,food,16,size
1,不是,purple,couch,0.38,furniture,17,color
1,是,metal,table,0.16,furniture,18,material
1,是,light,cheese,0.73,food,19,size
1,是,soft,potato,0.83,food,20,texture
1,是,big,bed,0.85,furniture,21,size
1,是,fresh,table,0.56,furniture,22,age
1,是,small,tomato,0.86,food,23,size
1,是,round,bed,0.04,furniture,24,shape
1,是,good,box,0.47,furniture,25,quality
1,是,yellow,chair,0.32,furniture,26,color
1,是,green,watermelon,0.32,food,27,color
1,不是,old,bed,0.72,furniture,28,age
2,是,blue,watermelon,0.84,food,3,color
2,不是,dry,bed,0.54,furniture,4,texture
2,是,soft,tomato,0.41,food,5,texture
2,不是,yellow,couch,0.76,furniture,6,color
2,不是,red,apple,0.38,food,7,color
2,是,good,table,0.66,furniture,8,quality
2,是,light,box,0.36,furniture,9,size
2,是,square,table,0.58,furniture,10,shape
2,是,new,bed,0.63,furniture,11,age
2,是,plastic,tomato,0.38,food,12,material
2,是,fresh,bed,0.6,furniture,13,age
2,不是,wooden,potato,0.81,food,14,material
2,不是,old,cheese,0.31,food,15,age
2,是,small,table,0.6,furniture,16,size
2,是,big,table,0.72,furniture,17,size
2,是,bad,box,0.37,furniture,18,quality
2,是,rotten,watermelon,0.77,food,19,age
2,是,heavy,cheese,0.77,food,20,size
2,不是,round,watermelon,0.3,food,21,shape
2,是,purple,watermelon,0.62,food,22,color
2,不是,metal,watermelon,0.42,food,23,material
2,是,green,apple,0.61,food,24,color
2,是,long,watermelon,0.11,food,25,size
2,不是,hard,tomato,0.82,food,26,texture
2,是,short,tomato,0.37,food,27,size
2,是,brown,tomato,0.66,food,28,color
3,是,long,apple,0.62,food,3,size
3,不是,hard,box,0.6,furniture,4,texture
3,不是,rotten,bed,0.55,furniture,5,age
3,是,dry,box,0.55,furniture,6,texture
3,不是,soft,cheese,0.53,food,7,texture
3,是,green,couch,0.51,furniture,8,color
3,是,light,box,0.51,furniture,9,size
3,是,big,watermelon,0.51,food,10,size
3,是,short,apple,0.51,food,11,size
3,是,brown,apple,0.51,food,12,color
3,不是,square,potato,0.5,food,13,shape
3,不是,new,tomato,0.49,food,14,age
3,是,yellow,chair,0.49,furniture,15,color
3,不是,fresh,couch,0.48,furniture,16,age
3,是,old,chair,0.48,furniture,17,age
3,不是,bad,apple,0.48,food,18,quality
3,是,round,apple,0.48,food,19,shape
3,是,plastic,cheese,0.48,food,20,material
3,是,good,cheese,0.52,food,21,quality
3,不是,purple,tomato,0.52,food,22,color
3,是,wooden,cheese,0.52,food,23,material
3,不是,blue,box,0.48,furniture,24,color
3,不是,small,watermelon,0.58,food,25,size
3,是,heavy,couch,0.36,furniture,26,size
3,不是,metal,bed,0.47,furniture,27,material
3,不是,red,box,0.52,furniture,28,color
