workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,是,long,bed,0.03,furniture,3,size
0,是,purple,tomato,0.05,food,4,color
0,是,brown,couch,0,furniture,5,color
0,不是,plastic,chair,0,furniture,6,material
0,不是,heavy,tomato,0.64,food,7,size
0,不是,light,tomato,0.67,food,8,size
0,不是,green,tomato,0,food,9,color
0,是,rotten,box,0,furniture,10,age
0,不是,fresh,chair,1,furniture,11,age
0,不是,square,tomato,0.05,food,12,shape
0,不是,yellow,tomato,0,food,13,color
0,是,blue,chair,0,furniture,14,color
0,不是,old,apple,0.47,food,15,age
0,是,small,table,0.65,furniture,16,size
0,是,hard,cheese,0.22,food,17,texture
0,是,big,bed,0.54,furniture,18,size
0,不是,round,chair,0,furniture,19,shape
0,是,wooden,watermelon,0,food,20,material
0,是,new,apple,0.67,food,21,age
0,是,dry,table,0.2,furniture,22,texture
0,是,soft,table,0.09,furniture,23,texture
0,不是,good,cheese,1,food,24,quality
0,不是,bad,couch,0.31,furniture,25,quality
0,不是,red,bed,0.04,furniture,26,color
0,是,short,apple,0.28,food,27,size
0,是,metal,box,0,furniture,28,material
1,不是,heavy,apple,0.79,food,3,size
1,是,long,potato,0.41,food,4,size
1,是,brown,tomato,0.33,food,5,color
1,是,dry,box,0.03,furniture,6,texture
1,是,good,tomato,0.33,food,7,quality
1,是,metal,potato,0,food,8,material
1,不是,round,potato,0,food,9,shape
1,是,rotten,tomato,0,food,10,age
1,是,plastic,cheese,0.01,food,11,material
1,是,old,bed,0.38,furniture,12,age
1,是,square,apple,0,food,13,shape
1,不是,light,chair,0.85,furniture,14,size
1,不是,yellow,apple,0.43,food,15,color
1,是,hard,chair,0.59,furniture,16,texture
1,是,fresh,table,0.5,furniture,17,age
1,是,short,bed,0.7,furniture,18,size
1,是,big,potato,0.85,food,19,size
1,不是,bad,table,0.08,furniture,20,quality
1,是,red,chair,0.04,furniture,21,color
1,不是,small,box,0.63,furniture,22,size
1,是,purple,tomato,0.45,food,23,color
1,不是,new,chair,0.08,furniture,24,age
1,不是,wooden,couch,0,furniture,25,material
1,是,green,tomato,0.12,food,26,color
1,不是,blue,box,0.07,furniture,27,color
1,不是,soft,potato,0.08,food,28,texture
2,是,round,apple,0.83,food,3,shape
2,不是,short,table,0.19,furniture,4,size
2,不是,soft,tomato,0.2,food,5,texture
2,是,wooden,tomato,0.06,food,6,material
2,是,rotten,box,0.03,furniture,7,age
2,是,heavy,chair,0.03,furniture,8,size
2,不是,long,chair,0.03,furniture,9,size
2,是,yellow,table,0.07,furniture,10,color
2,是,plastic,apple,0,food,11,material
2,是,new,box,0.07,furniture,12,age
2,是,blue,table,0.01,furniture,13,color
2,不是,green,potato,0.04,food,14,color
2,不是,fresh,table,0.71,furniture,15,age
2,不是,light,table,0.08,furniture,16,size
2,是,bad,table,0.07,furniture,17,quality
2,是,brown,cheese,0.09,food,18,color
2,不是,red,chair,0.13,furniture,19,color
2,是,hard,table,0.08,furniture,20,texture
2,不是,small,potato,0.56,food,21,size
2,是,metal,potato,0.11,food,22,material
2,是,old,cheese,0.55,food,23,age
2,不是,good,apple,0.07,food,24,quality
2,不是,big,cheese,0.54,food,25,size
2,是,square,box,0.02,furniture,26,shape
2,是,purple,cheese,0.52,food,27,color
2,是,dry,tomato,0.08,food,28,texture
3,是,red,potato,0.17,food,3,color
3,是,small,potato,0.72,food,4,size
3,是,green,chair,0.7,furniture,5,color
3,是,brown,tomato,0.86,food,6,color
3,不是,dry,potato,0.14,food,7,texture
3,是,hard,couch,0.23,furniture,8,texture
3,不是,light,table,0.07,furniture,9,size
3,是,plastic,box,0.16,furniture,10,material
3,是,good,watermelon,0.26,food,11,quality
3,是,new,chair,0.48,furniture,12,age
3,不是,big,potato,0.17,food,13,size
3,不是,wooden,apple,0.3,food,14,material
3,不是,metal,watermelon,0.27,food,15,material
3,是,bad,box,0.48,furniture,16,quality
3,不是,heavy,bed,0.3,furniture,17,size
3,不是,soft,cheese,0.56,food,18,texture
3,不是,rotten,couch,0.71,furniture,19,age
3,不是,fresh,box,0.5,furniture,20,age
3,是,blue,tomato,0.08,food,21,color
3,不是,round,bed,0.26,furniture,22,shape
3,是,long,table,0.21,furniture,23,size
3,不是,purple,potato,0.21,food,24,color
3,是,old,watermelon,0.22,food,25,age
3,是,yellow,watermelon,0.12,food,26,color
3,是,square,chair,0.11,furniture,27,shape
3,是,short,table,0.17,furniture,28,size
4,是,red,potato,0.98,food,3,color
4,是,wooden,watermelon,0.96,food,4,material
4,不是,purple,bed,0.14,furniture,5,color
4,不是,big,table,0.89,furniture,6,size
4,不是,rotten,apple,0.16,food,7,age
4,是,yellow,table,0.76,furniture,8,color
4,是,long,potato,0.77,food,9,size
4,是,old,bed,0.94,furniture,10,age
4,不是,small,table,0.94,furniture,11,size
4,不是,soft,cheese,0.22,food,12,texture
4,不是,metal,box,0.08,furniture,13,material
4,不是,green,box,0.91,furniture,14,color
4,不是,bad,table,0.16,furniture,15,quality
4,不是,square,chair,0,furniture,16,shape
4,是,brown,box,0.92,furniture,17,color
4,是,fresh,watermelon,0.63,food,18,age
4,不是,hard,chair,0.61,furniture,19,texture
4,是,good,potato,0.99,food,20,quality
4,是,heavy,potato,0.79,food,21,size
4,是,light,couch,0.87,furniture,22,size
4,是,new,box,0.38,furniture,23,age
4,不是,short,table,0.72,furniture,24,size
4,不是,plastic,chair,0.04,furniture,25,material
4,是,dry,bed,0.05,furniture,26,texture
4,是,round,apple,0.09,food,27,shape
4,是,blue,bed,0.85,furniture,28,color
5,不是,brown,bed,0,furniture,3,color
5,不是,red,bed,0,furniture,4,color
5,不是,bad,chair,0,furniture,5,quality
5,不是,hard,bed,0,furniture,6,texture
5,不是,square,apple,0,food,7,shape
5,是,green,chair,0,furniture,8,color
5,是,good,potato,0.02,food,9,quality
5,不是,heavy,chair,0.87,furniture,10,size
5,是,short,tomato,0.79,food,11,size
5,不是,fresh,watermelon,0.74,food,12,age
5,不是,soft,watermelon,0.78,food,13,texture
5,不是,long,bed,0.7,furniture,14,size
5,不是,small,couch,0.64,furniture,15,size
5,不是,wooden,tomato,0,food,16,material
5,是,purple,apple,0,food,17,color
5,不是,dry,watermelon,0.07,food,18,texture
5,是,light,couch,0.74,furniture,19,size
5,不是,metal,watermelon,0.77,food,20,material
5,是,round,cheese,0.13,food,21,shape
5,不是,blue,box,0.08,furniture,22,color
5,不是,new,table,0.69,furniture,23,age
5,不是,big,watermelon,0.73,food,24,size
5,不是,yellow,tomato,0.05,food,25,color
5,是,old,apple,0.74,food,26,age
5,是,plastic,box,0.1,furniture,27,material
5,不是,rotten,bed,0.68,furniture,28,age
6,不是,fresh,cheese,0.96,food,3,age
6,是,metal,bed,0.94,furniture,4,material
6,是,wooden,cheese,0.48,food,5,material
6,是,short,chair,0.7,furniture,6,size
6,不是,hard,table,0.18,furniture,7,texture
6,是,yellow,chair,0.79,furniture,8,color
6,不是,square,potato,0.85,food,9,shape
6,是,new,box,0.11,furniture,10,age
6,不是,brown,watermelon,0.89,food,11,color
6,是,heavy,potato,0.74,food,12,size
6,不是,bad,potato,0.1,food,13,quality
6,不是,round,bed,0.81,furniture,14,shape
6,不是,blue,bed,0.82,furniture,15,color
6,不是,long,box,0.85,furniture,16,size
6,是,good,box,0.89,furniture,17,quality
6,是,big,watermelon,0.91,food,18,size
6,是,soft,watermelon,0.17,food,19,texture
6,是,purple,chair,0.87,furniture,20,color
6,是,rotten,bed,0.86,furniture,21,age
6,不是,old,apple,0.86,food,22,age
6,是,light,watermelon,0.06,food,23,size
6,是,plastic,couch,0.49,furniture,24,material
6,不是,small,table,0.65,furniture,25,size
6,不是,green,box,0.78,furniture,26,color
6,是,dry,potato,0.89,food,27,texture
6,不是,red,bed,0.89,furniture,28,color
